lon,lat,name
8.8340738,52.0242989,Feuerwehr Lemgo – Gerätehaus Lieme
13.7535317,52.412424,Freiwillige Feuerwehr Erkner
9.2710502,49.7105373,Freiwillige Feuerwehr Bürgstadt
8.5807709,49.7188406,Freiwillige Feuerwehr Rodau
8.8429723,50.1993761,Freiwillige Feuerwehr Kilianstädten
9.7314075,52.5442304,Freiwillige Feuerwehr Mellendorf
8.305669,50.0923922,Freiwillige Feuerwehr Wiesbaden Kloppenheim
10.6651805,52.1749352,Freiwillige Feuerwehr Dettum
14.8275582,51.2905414,Freiwillige Feuerwehr Niesky
8.2438439,50.3240436,Feuerwehr Oberselters
10.034239,52.2196396,Freiwillige Feuerwehr Rautenberg
10.4423403,48.403959,Freiwillige Feuerwehr Scheppach
10.4911393,48.3830182,Freiwillige Feuerwehr Freihalden e.V.
10.4330707,48.3871976,Freiwillige Feuerwehr Jettingen e.V.
7.1104687,51.1123725,Freiwillige Feuerwehr der Stadt Leichlingen Löschzug 4 Witzhelden
10.9721643,49.335648,Freiwillige Feuerwehr Gustenfelden
10.9488718,49.3691592,Freiwillige Feuerwehr Regelsbach
11.240745,48.2501027,Freiwillige Feuerwehr Rottbach
11.4131124,48.8236239,Freiwillige Feuerwehr Wettstetten
6.5083527,51.1902213,Freiwillige Feuerwehr Korschenbroich
12.0058824,51.8144202,Freiwillige Feuerwehr Trebbichau
9.9191145,52.5123978,Freiwillige Feuerwehr Wettmar
12.1589169,48.2777578,Freiwillige Feuerwehr Dorfen
12.1063585,48.281083,Freiwillige Feuerwehr Zeilhofen
12.0882072,48.2679712,Freiwillige Feuerwehr Esterndorf
12.3109952,49.7858845,FFW Plößberg
13.9443302,51.7464201,Freiwillige Feuerwehr Calau
8.5205317,50.1348635,Freiwillige Feuerwehr Sulzbach
10.7985402,47.6773959,Freiwillige Feuerwehr Prem
8.6773103,49.7908717,Niederbeerbacher Feuerwehr
11.3046241,49.4518304,Leinburg
9.9411703,52.4984318,Freiwillige Feuerwehr Engensen
9.1659318,49.836124,Feuerwehr Elsenfeld
13.6765999,50.7918964,Freiwillige Feuerwehr Bärenfels
9.9213016,48.1901301,Feiwillige Feuerwehr Walpertshofen
11.789451,48.0081227,Feuerwehr Egmating
8.6200206,53.0480616,Berufsfeuerwehr Delmenhorst
10.0677607,52.2124159,Freiwillige Feuerwehr Adlum
9.4140053,54.8149072,Freiwillige Feuerwehr Klues
8.4824576,53.3045568,Einheit Hammelwarden
6.3797588,50.7098467,Löschgruppe Hürtgen
9.4390671,54.7779655,Berufsfeuerwehr Flensburg
9.6675538,50.0783678,Freiwillige Feuerwehr Schaippach
6.3931925,50.7347472,Löschgruppe Großhau
8.3568067,50.0184423,Feuerwehr Hochheim
9.2070066,49.9456006,Feuerwehrgerätehaus Gailbach
8.9395988,48.4800184,Freiwillige Feuerwehr Rottenburg
11.7202384,52.002315,Freiwillige Feuerwehr Bad Salzelemen
9.09377,52.1732779,Feuerwehr Exten
9.7763793,53.2439267,Feuerwehr Kampen
9.0934772,51.8968218,Feuerwehrgerätehaus
11.1558633,47.8753476,Feuerwehr Wielenbach
9.7288889,52.4746223,Freiwillige Feuerwehr Kaltenweide
9.7229957,53.6879744,Feuerwache
10.1788502,54.2936709,Freiwillige Feuerwehr Elmschenhagen
6.8512082,51.7656179,Freiwillige Feuerwehr Raesfeld
9.2440214,49.8807072,Feuerwehr Roßbach
10.2830818,48.3749915,Freiwillige Feuerwehr Oxenbronn
8.2402609,50.0415558,Freiwillige Feuerwehr Biebrich
7.556775,53.3382277,Freiwillige Feuerwehr
10.0952909,48.3288402,Freiwillige Feuerwehr Hittistetten
8.5431429,48.9840584,Freiwillige Feuerwehr Pfinztal / Abt. Söllingen
10.1043845,52.1818423,Freiwillige Feuerwehr Schellerten
9.3938311,52.0441435,Feuerwehr Kirchohsen
6.9010789,49.2492691,Freiwillige Feuerwehr Luisenthal (LB 3)
10.2400069,47.4462796,Freiwillige Feuerwehr Obermaiselstein
10.2809197,47.4084698,Freiwillige Feuerwehr Oberstdorf
10.4740599,53.6766615,Freiwillige Feuerwehr Wentorf
10.0200521,54.6299144,Freiwillige Feuerwehr Schönhagen Höxmark
11.7353628,52.020861,Stadtteilfeuerwehr Schönebeck
8.7451941,49.982779,Freiwillige Feuerwehr Offenthal
13.716157,52.4367173,Freiwillige Feuerwehr Wilhelmshagen
10.598329,52.1707635,Feuerwehr Ahlum
10.5792338,52.180285,Freiwillige Feuerwehr Atzum
9.8331262,53.2477392,Feuerwehr Handeloh
7.8136489,47.6355433,FW Abteilung 4 Wiechs
10.3660003,50.090942,Freiwillige Feuerwehr Löffelsterz
9.211629,49.8298938,FF Rück-Schippach
8.6481332,49.8185657,Freiwillige Feuerwehr Darmstadt-Eberstadt
9.9941067,48.3372548,"Feuerwehr Illerkirchberg, Feuerwehrhaus Unterkirchberg"
10.2363506,50.2068046,Freiwillige Feuerwehr Poppenlauer
9.6878949,48.4943303,Feuerwehrhaus Laichingen
8.4541179,50.5461115,Freiwillige Feuerwehr Steindorf
11.1931865,48.177536,Freiwillige Feuerwehr Aich
8.9996441,48.4817862,Feuerwehr Tübingen Abteilung Bühl
7.0359039,49.481211,Freiwillige Feuerwehr Tholey
10.6632326,53.1634947,Freiwillige Feuerwehr Gienau
9.8032839,53.2403207,Feuerwehr Welle
9.7184258,53.2838444,Feurwehr Tostedt
12.1701898,51.3550889,Freiwillige Feuerwehr Kötschlitz
8.2868211,51.3482537,Freiwillige Feuerwehr LZ Meschede
9.7337302,53.2827328,Feuerwehr Todtglüsingen
9.6657522,54.4863988,Freiwillige Feuerwehr Güby
9.0888463,52.6040164,Freiwillige Feuerwehr Liebenau
6.0747351,51.677973,Freiwillige Feuerwehr Goch - Löschgruppe Hassum
8.5962678,48.2473995,Freiwillige Feuerwehr Epfendorf
11.2255278,48.7988451,Freiwillige Feuerwehr Nassenfels
6.4424866,50.7157972,Freiwillige Feuerwehr - Löschgruppe Obermaubach
10.1669056,51.5419668,Freiwillige Feuerwehr Seulingen
10.6152072,53.1697172,Freiwillige Feuerwehr Aljarn
11.4033574,48.4648786,Freiwillige Feuerwehr Schachach
11.0783013,49.3211319,Freiwillige Feuerwehr Schaftnach
11.1939765,49.3279175,Freiwillige Feuerwehr Sperberslohe
11.7055708,48.4813305,Freiw. Feuerwehr Wolfersdorf
10.7475199,50.6316443,Freiwillige Feuerwehr Goldlauter
13.4515478,52.7538525,Freiwillige Feuerwehr Wandlitz
12.137642,48.0213939,Freiwillige Feuerwehr Ramerberg
10.4808163,53.6880683,Freiwillige Feuerwehr Sandesneben
7.1191473,50.1281198,Freiwillige Feuerwehr Dohr
10.8876162,50.9488317,Ortsteilfeuerwehr Gamstädt
8.8324115,50.2145913,Freiwillige Feuerwehr Büdesheim
10.843053,50.716753,Freiwillige Feuerwehr Geraberg
6.111824,51.6946645,Freiwillige Feuerwehr Goch - Löschzug Asperden
